,company,comp_id
287,"ОАО ""Технопарк ""Орбита""",26823
288,"ПАО ""Уралавтоприцеп""",5760
289,"ОАО ""ЦНХРС""",7483
290,"ПАО ""ГАЗКОН""",11633
291,АО «СМП Банк»,26869
292,АО «Почта России»,28188
293,"ПАО ""Павловский автобус""",3638
294,ООО «ТКК»,36423
295,ПАО «ГАЗ-Тек»,29479
296,"ОАО ""ЗиД""",16532
297,"ПАО ""Россети Северный Кавказ""",12418
298,"АО ""ДЭМ""",4236
299,"ПАО ""Московская объединенная электросетевая компания"";   ПАО ""МОЭСК""",5563
300,"РСП ОАО ""ДОСТ""",31247
301,"ПАО ""МРСК Северо-Запада""",12761
302,"АО ""Улан-Удэнская птицефабрика""",16590
303,"ОАО ""УМ-15""",25127
304,"ПАО ""МРСК Волги""",12131
305,"ПАО ""Республиканская типография""",20278
306,"ОАО ""МРСК Урала""",12105
307,"ПАО ""ОНХП""",24155
308,"ПАО КБ ""САММИТ БАНК""",3345
309,"ООО ""НЗРМ""",37710
310,"ОАО ""Сахалиноблгаз""",7579
311,"АО СКБ ""СПУРТ""",34873
312,"ПАО ""ТРК""",7242
313,"АО ""ОКБ ""Кристалл""",5022
314,"ПАО ""Энел Россия""",5732
315,"ПАО ""ЭЛТРА""",2941
316,"ПАО ""Детский мир""",6788
317,ЮГ-Инвестбанк (ПАО),4292
318,"ПАО ""Фармсинтез""",4378
319,ПАО «МИнБанк»,3007
320,"АО ""Янтарьэнергосбыт""",14136
321,"ОАО ""Мостекстильпром""",9810
322,ПАО МГТС,1017
323,"ПАО ""РБК""",24832
324,"ОАО ""НПК ""НИИДАР""",18994
325,"ПАО ""МПСМ""",8067
326,"ОАО ""Смоленский завод радиодеталей""",21093
327,"ПАО ""Газпром""",934
328,ПАО «НГК «Славнефть»,560
329,"АО ""ВОРОБЬЕВО""",35016
330,ПАО КМЗ,7544
331,"АО ""Сальский завод КПО""",21064
332,"ПАО МП ""ГСФС""",7911
333,"ПАО ""ОСВАР""",3097
334,"ОАО ""ХМДС""",4529
335,"ПАО ""АК Мослифтмонтаж""",1565
336,"ОАО ""ЮЖНЫЙ РЕЧНОЙ ПОРТ""",11898
337,"АО ""ВНИИ НП""",25029
338,"ПАО ""Племзавод им. В.И. Чапаева""",2308
339,"ПАО ""РКК ""Энергия""",1615
340,"ПАО ""ОНГГ""",3838
341,"АО ""Спецбытмонтаж""",33853
342,"ОАО ""Ржавское ХПП""",18876
343,"ПАО ""Ил""",1788
344,"АО ""СИМФЕРОПОЛЬСКИЙ РАЙАГРОХИМ""",36168
345,"ОАО ""Порт Тольятти""",3888
346,"ПАО ""ИК РУСС-ИНВЕСТ""",579
347,АО ЧМЗ,1246
348,ПАО «Дагестанская энергосбытовая компания»,7321
349,"ООО ""Совкомбанк Лизинг""",36564
350,"ПАО ""ПНППК""",14292
351,"ПАО ""Саратовнефтегаз""",4802
352,"АО ""Экономбанк""",3045
353,"АО Агентство ""Роспечать""",239
354,"ОАО ""КЭМЗ""",6623
355,"ООО ""Брусника. Строительство и девелопмент""",37991
356,"ОАО ""ПСФ ""Каналсетьстрой""",31651
357,"АО ""Трест Мурманскморстрой""",13804
358,"АО НПО ""Магнетон""",9267
359,"ОАО ""ЧСЗ""",4536
360,"ПАО ""Мечел""",1942
361,"ПАО ""Октава""",2363
362,"ПАО ""Салют""",11767
363,Банк ГПБ (АО),2798
364,"ПАО ""ВСЗ""",419
365,"АО ""МФС - 6""",175
366,"ОАО ""МЖК ""Краснодарский""",4951
367,"ПАО ""Ростелеком""",141
368,"ПАО ""ГЗАС им. А. С. Попова""",12741
369,"ОАО АК ""Уральские авиалинии""",1046
370,"ОАО НПО ""Буровая техника""",4040
371,"АО ""Металлургический завод ""Электросталь""",14893
372,"ПАО ""Перовский комбинат строительных материалов""",26987
373,"АО ""ВНИИнефть""",12341
374,ПАО ГК «ТНС энерго»,33277
375,"ПАО ""ГК ""Нижегородский""",9613
376,"ПАО ""Варьеганнефтегаз""",3166
377,"ПАО ""Кузбассэнергосбыт""",8813
378,"АО ""КБАЛ им. Л.Н.Кошкина""",11828
379,"ПАО АК ""Рубин""",22069
380,"ООО СЗ ""Жилкапинвест""",37276
381,"ОАО ""Аксайкардандеталь""",5411
382,"КБ ""МИА"" (АО)",384
383,"ООО ""ЛЕГЕНДА""",37392
384,"ОАО ""ВК СРЗ""",8544
385,"ПАО ""ГК ""Космос""",1350
386,"АО ""ПКТ""",35554
387,"ОАО""Кировский швейник""",6673
388,"ПАО ААК ""ПРОГРЕСС""",8990
389,"ОАО ""КУЗОЦМ""",4662
390,"ПАО ""ИРП""",1169
391,ЗАО «КРАУС-М»,36405
392,МКПАО «ЭН+ ГРУП»,37955
393,"ООО ""ЭнергоТехСервис""",38026
394,"ОАО ""Уралгипротранс""",6570
395,"АО ""ДГК""",9644
396,"ПАО ""ЧКПЗ""",3306
397,ПАО «РН-Западная Сибирь»,3867
398,"ПАО ""КТК""",5964
399,"ПАО ""МОЭК""",11714
400,"ПАО ""Группа ЛСР""",4834
401,"ПАО ""ДЭК""",11385
402,"ОАО ""Комбин""",5178
403,"АО ""ЭЛИОН""",14187
404,"ПАО ""МСЗ""",2806
405,Банк СОЮЗ (АО),1052
406,ПАО Московская Биржа,id=43
407,"ОАО ""Суровикинский элеватор""",19951
408,"ОАО ""Омский аэропорт""",8296
409,"АО ""Концерн ""Калашников""",29973
410,"Банк ""Левобережный"" (ПАО)",681
411,"ПАО ""МТС""",236
412,"ПАО ""СКБ-банк""",457
413,"ПАО ""ИНГРАД""",1664
414,"АО ""Астраханская сетевязальная фабрика""",19143
415,"ОАО ""КВК""",22335
416,ПАО «НК «Роснефть»,6505
417,"ОАО ""Скопинское АТП""",11365
418,ПАО Банк ЗЕНИТ,538
419,"ПАО СЗ ""Северная верфь""",1958
420,"ПАО ""Нижкомплект""",8780
421,"ОАО ""Виктория""",17543
422,"ПАО ""Моспромтранспроект""",7243
423,"ПАО ""Мурманскавтотранс""",9622
424,"ПАО ""ЦМТ""",9304
425,ПАО «Интер РАО»,12213
426,"ОАО ""ТАКФ""",2161
427,"АО ""Газпром газораспределение Майкоп""",13058
428,"ПАО ""ЗКИ""",14987
429,"АО ""ГОРИЗОНТ""",2464
430,"ПАО ""ННК - Хабаровскнефтепродукт""",2142
431,"ПАО ""Гермес-Москва""",1295
432,ПАО «Кемеровский ЦУМ»,15025
433,"ПАО ""КЕРЧЕНСКОЕ АТП № 14313""",35335
434,"ПАО ""НЕФАЗ""",227
435,"ПАО ""Птицефабрика ""Боровская""",486
436,"АО ""МОСШЛИФИНСТРУМЕНТ""",4070
437,"АО ""Аптека № 72 ""На Автозаводской""",37788
438,ОАО «Климатехника»,33653
439,"АО ""КХЗ""",15082
