,company,comp_id
208,"АО Банк ""Национальный стандарт""",27836
209,"АО ""Первомайскхиммаш""",9330
210,"ОАО ""Интеллект Капитал""",30684
211,"ПАО ""Группа ЛСР""",4834
212,"АО ""Бийский аэропорт""",11326
213,"ОАО ""Валерия""",3266
214,"ОАО ""ТДСК""",1744
215,"АО ""ЭКСПОЦЕНТР""",30406
216,"АО ""АЛЬФА-БАНК""",1389
217,"ПАО ""Продторг""",17643
218,"ПАО ""Коломнатекмаш""",7690
219,"ПАО ""МПСМ""",8067
220,"ПАО ""Уральский завод ЭМА""",13146
221,АО РТИ,18175
222,"ОАО ""Завод ""Реконд""",4465
223,"ПАО ""Нижкомплект""",8780
224,"ОАО ""МШЗ""",830
225,ООО «РЕГИОН-ИНВЕСТ»,34570
226,"ОАО ""Институт корпоративного управления”",12881
227,"ОАО ""ММК-МЕТИЗ""",id=57
228,"ПАО АФХП ""Сардаана""",7586
229,"ПАО ""СУПЕР""",27007
230,"ОАО ""СЗТТ""",372
231,"ОАО ""Трехгорная мануфактура""",1431
232,"ООО ТП ""Кировский""",37689
233,"АО ""Завод ""Экран""",2707
234,"ПАО ""Туланефтепродукт""",9361
235,ОАО «ПДСК»,14090
236,"АО ""Озёры""",19341
237,"АО ""САРЭКС""",5502
238,"АО ""Ивановогоргаз""",20016
239,"ПАО ""СКБ-банк""",457
240,"АО ""Третий парк""",9619
241,"ПАО ""РЭСК""",5422
242,"ПАО ИФ ""Аз-Капитал""",167
243,"ОАО ""Речной порт Улан-Удэ""",29306
244,"ПАО ""ЧТПЗ""",2772
245,"ОАО ""Металлист""",25399
246,"ООО ""ЭБИС""",37232
247,"ПАО ""ОТМ""",12041
248,"ОАО ТТК ""Кросно""",10745
249,"ПАО ""КСМ-10""",21510
250,"ПАО ""Перовский комбинат строительных материалов""",26987
251,"АО ""МСП Банк""",451
252,"АО ""СМТ""",5855
253,"ПАО ААК ""ПРОГРЕСС""",8990
254,"АО ""ОДК""",27324
255,"ПАО АК ""Рубин""",22069
256,"ПАО ""Туполев""",11474
257,"ОАО ""Сахалиноблгаз""",7579
258,"ОАО ""УМ-3""",7809
259,"ОАО ""Экскавация""",26091
260,ТИСИЭС ГРУП ХОЛДИНГ ПИЭЛСИ,38033
261,"САО ""ВСК""",1968
262,"АО ""ЮАИЗ""",10603
263,"АО ""Борремфлот""",1867
264,"ООО ""Кузина""",37954
265,ПАО «ГК «Самолет»,36419
266,"АО ""АВТ""",21478
267,"ОАО ""ЧШФ ""Одежда""",12600
268,"ОАО ""Исеть-фонд""",4728
269,"АО ""Механизатор""",10227
270,"ОАО ""ДУБИТЕЛЬ""",2678
271,"Государственная компания ""Автодор""",27572
272,"АО ""ПНИТИ""",11318
273,"ПАО ""КТК""",5964
274,"АО ""Коломенский завод""",4250
275,"ОАО МТУ ""Орион""",3824
276,"ОАО ""ГАТП""",27719
277,"ПАО ""Южный Кузбасс""",1411
278,"ОАО ОмПО ""Радиозавод им.А.С.Попова"" (РЕЛЕРО)",17007
279,"АО   ""Кинотеатр Центральный""",20322
280,ПАО «ТрансКонтейнер»,11194
281,"ПАО ""АРМАДА""",10114
282,"АО ""ПЭС""",6646
283,"ПАО ""Кубаньэнерго""",2827
284,ЭТАЛОН ГРУП ПИЭЛСИ (ETALON GROUP PLC),38096
285,АО «Тулаточмаш»,16662
286,"АО ""БиКЗ""",5017
287,"ПАО ""МРСК Волги""",12131
288,"ПАО ""Россети Северный Кавказ""",12418
289,"АО ""Гидроагрегат""",2898
290,АО «Волгоградгоргаз»,13651
